"Subject","Activity","tBa-X-Mean","tBa-Y-Mean","tBa-Z-Mean","tBa-X-Std","tBa-Y-Std","tBa-Z-Std","tGa-X-Mean","tGa-Y-Mean","tGa-Z-Mean","tGa-X-Std","tGa-Y-Std","tGa-Z-Std","tBaJ-X-Mean","tBaJ-Y-Mean","tBaJ-Z-Mean","tBaJ-X-Std","tBaJ-Y-Std","tBaJ-Z-Std","tBg-X-Mean","tBg-Y-Mean","tBg-Z-Mean","tBg-X-Std","tBg-Y-Std","tBg-Z-Std","tBgJ-X-Mean","tBgJ-Y-Mean","tBgJ-Z-Mean","tBgJ-X-Std","tBgJ-Y-Std","tBgJ-Z-Std","tBaM-Mean","tBaM-Std","tGaM-Mean","tGaM-Std","tBaJM-Mean","tBaJM-Std","tBgM-Mean","tBgM-Std","tBgJM-Mean","tBgJM-Std","fBa-X-Mean","fBa-Y-Mean","fBa-Z-Mean","fBa-X-Std","fBa-Y-Std","fBa-Z-Std","fBa-F-X-Mean","fBa-F-Y-Mean","fBa-F-Z-Mean","fBaJ-X-Mean","fBaJ-Y-Mean","fBaJ-Z-Mean","fBaJ-X-Std","fBaJ-Y-Std","fBaJ-Z-Std","fBaJ-F-X-Mean","fBaJ-F-Y-Mean","fBaJ-F-Z-Mean","fBg-X-Mean","fBg-Y-Mean","fBg-Z-Mean","fBg-X-Std","fBg-Y-Std","fBg-Z-Std","fBg-F-X-Mean","fBg-F-Y-Mean","fBg-F-Z-Mean","fBaM-Mean","fBaM-Std","fBBaJM-Mean","fBBaJM-Std","fBBgM-Mean","fBBgM-Std","fBBgJM-Mean","fBBgJM-Std","V-tBa-G-Mean","V-tBaJ-G-Mean","V-tBg-G-Mean","V-tBgJ-G-Mean","V-G-X-Mean","V-G-Y-Mean","V-G-Z-Mean"
" 1","Walking","0.27733076","-0.0173838185","-0.111148104","-0.2837402588"," 0.1144613367","-0.2600279022"," 0.93522320","-0.2821650213","-0.0681028640","-0.97660964","-0.97130596","-0.94771723","0.074041633"," 2.8272110e-02","-4.1684062e-03","-0.1136156024"," 0.0670025008","-0.502699789","-0.0418309635","-0.0695300462"," 0.08494481730","-0.473535486","-0.0546077687","-0.344266629","-0.089997542","-0.039842871","-0.0461309295","-0.207421855","-0.304468511","-0.4042554526","-0.13697117656","-0.219688646","-0.13697117656","-0.219688646","-0.1414288090","-0.074471750","-0.1609795525","-0.186978365","-0.298703679","-0.325324879","-0.202794306"," 0.0897127264","-0.331560118","-0.3191347196"," 0.0560400068","-0.279686751","-0.20754837449"," 0.1130936461"," 0.04972651962","-0.1705469645","-0.0352255241","-0.468999225","-0.1335866063"," 0.1067398571","-0.5347134404","-0.2092619734","-3.8623714e-01","-0.1855302812","-0.339032197","-0.103059416","-0.255940940","-0.51669194","-0.033508160","-0.436562227"," 0.0147844987","-0.0657746190"," 0.00077332156","-0.1286234506","-0.39803258684","-0.0571194000","-0.103492403","-0.19925256899","-0.321017954","-0.319308594","-0.381601912"," 6.0453747e-02","-0.00793037848"," 0.01305949072","-1.8743191e-02","-0.72924720"," 2.7695302e-01"," 0.06885891199"
" 2","Walking","0.27642659","-0.0185949199","-0.105500358","-0.4236428385","-0.0780912533","-0.4252575249"," 0.91301733","-0.3466070900"," 0.0847270871","-0.97269320","-0.97211688","-0.97207285","0.061808070"," 1.8249268e-02"," 7.8953371e-03","-0.2775304626","-0.0166022363","-0.586090419","-0.0530258157","-0.0482382317"," 0.08283366332","-0.561550256","-0.5384536678","-0.481085535","-0.081883343","-0.053829945","-0.0514939157","-0.389549832","-0.634140436","-0.4354926773","-0.29040759373","-0.422544169","-0.29040759373","-0.422544169","-0.2814241539","-0.164150985","-0.4465490929","-0.553019916","-0.547911950","-0.557798151","-0.346048161","-0.0219048103","-0.453806370","-0.4576513837","-0.1692196862","-0.455222146","-0.14579548970"," 0.1985864665"," 0.06889952082","-0.3046153229","-0.0787640837","-0.554956710","-0.3143130634","-0.0153329520","-0.6158981885","-0.0727101584","-2.6357402e-01","-0.2548464388","-0.429713536","-0.554772112","-0.396659907","-0.60405302","-0.533046953","-0.559856635"," 0.0072796799","-0.0427009322"," 0.13975211527","-0.3242894279","-0.57710521169","-0.1690643528","-0.164091969","-0.53070481475","-0.651792840","-0.583249293","-0.558104555","-3.0101738e-02"," 0.05340058008"," 0.02161967745","-8.5847083e-02","-0.66195998"," 3.2144301e-01","-0.03688928331"
" 3","Walking","0.27556746","-0.0171767844","-0.112674860","-0.3603567260","-0.0699140652","-0.3874119943"," 0.93650674","-0.2619863579","-0.1381078663","-0.97777159","-0.96235564","-0.95209179","0.081474588"," 1.0059149e-02","-5.6226459e-03","-0.2686796439","-0.0449619594","-0.529486116","-0.0256405193","-0.0779150937"," 0.08134859428","-0.571869560","-0.5637932602","-0.476696412","-0.095239817","-0.038787465","-0.0503616101","-0.385922986","-0.639087984","-0.5366640803","-0.25469033328","-0.328428937","-0.25469033328","-0.328428937","-0.2800093174","-0.139916355","-0.4664117541","-0.561510683","-0.566135218","-0.567371561","-0.316614012","-0.0813024353","-0.412374074","-0.3792767812","-0.1240308320","-0.422998474","-0.24661419662"," 0.1717430030"," 0.07485365574","-0.3046944426","-0.1405085902","-0.514137255","-0.2965966331","-0.0056149876","-0.5435291081","-0.2160426681","-2.5866798e-01","-0.3469466481","-0.437845764","-0.561526265","-0.418126217","-0.61512137","-0.568888673","-0.545896388"," 0.0337596901","-0.0379896505","-0.04450797389","-0.2900315352","-0.45637308086","-0.1867645170","-0.089851990","-0.56975577224","-0.632643293","-0.607751646","-0.549087008"," 5.2750283e-02","-0.07630206488"," 0.09684383162","-3.6689220e-02","-0.72280401"," 2.6249189e-01"," 0.11740328007"
" 4","Walking","0.27858202","-0.0148399475","-0.111403065","-0.4408299713","-0.0788267368","-0.5862528068"," 0.96399970","-0.0858540266"," 0.1277641127","-0.98382649","-0.96796322","-0.96296811","0.078352908"," 2.9560243e-03","-7.6767934e-04","-0.2970426125","-0.2211651316","-0.751391383","-0.0317982558","-0.0726905279"," 0.08056771612","-0.500916659","-0.6653940928","-0.662608226","-0.115321556","-0.039347449","-0.0551166853","-0.492341067","-0.807419937","-0.6404541328","-0.31205057417","-0.527679103","-0.31205057417","-0.527679103","-0.3667008798","-0.316918956","-0.4977922011","-0.553116111","-0.681304037","-0.730146369","-0.426719450","-0.1493996334","-0.631005471","-0.4472349297","-0.1017994506","-0.594198326","-0.13859163673"," 0.0123477343","-0.07878926369","-0.3588834137","-0.2795533915","-0.728991596","-0.2973260724","-0.2099000063","-0.7723590873","-0.1352803948","-3.8588086e-01","-0.3257375037","-0.373384541","-0.688460057","-0.601381129","-0.54264676","-0.654657770","-0.716458475","-0.1271540858","-0.2746656377"," 0.14985153473","-0.4508045583","-0.65117262817","-0.3185878110","-0.320458701","-0.60928558802","-0.593937201","-0.724327421","-0.757768081","-1.2009778e-02"," 0.00092110448"," 0.01778136783"," 5.5415967e-02","-0.86528428"," 1.4251018e-01","-0.06751798638"
" 5","Walking","0.27784235","-0.0172850317","-0.107741776","-0.2940985342"," 0.0767484028","-0.4570214363"," 0.97262496","-0.1004402853"," 0.0024762363","-0.97934838","-0.96158547","-0.96458080","0.084588883","-1.6319410e-02"," 8.3215935e-05","-0.3028910246","-0.0910397429","-0.612895319","-0.0488919897","-0.0690135250"," 0.08154354959","-0.490877498","-0.5046220298","-0.318700615","-0.088840836","-0.044955953","-0.0482679596","-0.357681403","-0.571438124","-0.1576825440","-0.15833867439","-0.377178733","-0.15833867439","-0.377178733","-0.2883330241","-0.282242277","-0.3559330836","-0.492176824","-0.444532485","-0.489199746","-0.287782607"," 0.0094603776","-0.490251091","-0.2975173552"," 0.0426026831","-0.483059957","-0.32238201094","-0.0020405110"," 0.02473897287","-0.3449548064","-0.1810555542","-0.590496616","-0.3213903195","-0.0545213604","-0.6334299957","-0.3593725777","-5.3404982e-01","-0.3441509245","-0.372668750","-0.513951718","-0.213127031","-0.52939279","-0.502683381","-0.420367075","-0.0458601936","-0.0191860123"," 0.16745781911","-0.3049924889","-0.51963692607","-0.2694816611","-0.305685376","-0.48426282893","-0.589741507","-0.548053575","-0.455665301","-3.2286820e-02","-0.01172157757"," 0.02373572620","-3.4893705e-02","-0.91711397"," 1.5246160e-01"," 0.02003381475"
" 6","Walking","0.28365887","-0.0168954189","-0.110303166","-0.2965387174"," 0.1642138850","-0.5043242072"," 0.95806746","-0.2146948523"," 0.0331888827","-0.97777990","-0.96424857","-0.95720503","0.069958588","-1.6483172e-02","-7.3893120e-03","-0.1327847669"," 0.0080889737","-0.575777466","-0.0255096186","-0.0744462466"," 0.08388087993","-0.446020953","-0.3317022679","-0.383139335","-0.087889109","-0.036230897","-0.0539597284","-0.182600934","-0.416390246","-0.1666844222","-0.16684071363","-0.266734167","-0.16684071363","-0.266734167","-0.1951170261","-0.070602965","-0.2812078411","-0.365602917","-0.321290483","-0.364708342","-0.187934323"," 0.1407816220","-0.498520164","-0.3452276900"," 0.1016996422","-0.550474622","-0.19684173665"," 0.0220734188"," 0.18510704228","-0.1509429178","-0.0753742322","-0.541438616","-0.1926946941"," 0.0314450678","-0.6086243542","-0.1782951813","-4.6630575e-01","-0.1041294490","-0.239650711","-0.341378429","-0.203575459","-0.51532385","-0.332008707","-0.512209234"," 0.0912409729"," 0.0416267535"," 0.30287494979","-0.2013866076","-0.42168309351","-0.0554014233","-0.096499970","-0.32968112337","-0.510648323","-0.366500534","-0.408078906","-6.8034706e-02"," 0.00559532819","-0.05105804477","-8.1881793e-02","-0.80620522"," 2.3044360e-01","-0.00130364272"
" 7","Walking","0.27559296","-0.0186536653","-0.110912235","-0.3272432407","-0.0772618561"," 0.1596312833"," 0.93256647","-0.1590970037","-0.1608469240","-0.97985127","-0.96940416","-0.95215977","0.090146265"," 1.8432272e-02","-2.1039855e-02","-0.3460262261","-0.0547448948","-0.149488514"," 0.0022883521","-0.0837113725"," 0.06411046020","-0.503313517","-0.2310983055","-0.396013535","-0.123654200","-0.044776603","-0.0495713093","-0.211667297","-0.174136411","-0.4583029714","-0.09780904394","-0.198554708","-0.09780904394","-0.198554708","-0.1929489004","-0.027557329","-0.3059593514","-0.198283167","-0.300022780","-0.095340116","-0.343048406","-0.0641564203"," 0.038583225","-0.3220349081","-0.1437218233"," 0.133316828","-0.31372737184"," 0.1604341290"," 0.12463017110","-0.3837157977","-0.1231928874","-0.106490373","-0.3653147909","-0.0431917461","-0.1907515392","-0.2845865062","-2.8701382e-01","-0.2448317199","-0.318395105","-0.151966687","-0.366733618","-0.56361526","-0.290859379","-0.463270018"," 0.1119125374"," 0.2731413233"," 0.01435640546","-0.1512436496","-0.35170678053","-0.0384187299","-0.022138358","-0.19290976547","-0.343894915","-0.155339856","-0.084166377","-2.3614388e-02","-0.00538084219","-0.05269366365"," 5.3895009e-02","-0.74776564"," 1.9233930e-01"," 0.13538052509"
" 8","Walking","0.27468631","-0.0186628865","-0.107252091","-0.1736057360"," 0.3807820527","-0.1420885318"," 0.91358635","-0.2171021946","-0.1862678370","-0.97475205","-0.95678151","-0.95664010","0.070339349","-6.0394751e-03","-6.7379888e-04","-0.2586886278"," 0.2339875445","-0.383200596"," 0.0235088228","-0.0957917905"," 0.05096579154","-0.199209718","-0.2119972775","-0.075444784","-0.135886431","-0.031488091","-0.0522683965","-0.246082750","-0.428055700","-0.3884469717"," 0.05167862781","-0.180407283"," 0.05167862781","-0.180407283","-0.0668322430","-0.184571054","-0.0031024382","-0.238746704","-0.339129270","-0.502957255","-0.247389012"," 0.3169823933","-0.238634595","-0.1483868589"," 0.3248449313","-0.158437342","-0.38089240577"," 0.0035616376"," 0.11194720535","-0.3111987110"," 0.0796832872","-0.361563262","-0.2714481853"," 0.3158835365","-0.4044825094","-0.3458981154","-4.1927790e-01","-0.2474853992","-0.102063054","-0.259729692","-0.132902199","-0.23425201","-0.190805721","-0.142974235","-0.1760320657","-0.1028816076","-0.21880075376","-0.0952172827","-0.36081897854","-0.1238344098","-0.276436130","-0.30124184865","-0.327459578","-0.473026231","-0.581240191"," 7.3861533e-02","-0.03314176906","-0.18550390937"," 4.5002304e-02","-0.68499167"," 2.3191889e-01"," 0.15386120229"
" 9","Walking","0.27850284","-0.0180891971","-0.110820512","-0.2383535627","-0.2016969608","-0.0579636469"," 0.95186708","-0.0314341739","-0.1158561211","-0.98097197","-0.97124242","-0.95552400","0.070435727"," 2.1225591e-02"," 4.1476274e-03","-0.2067337880","-0.2769299338","-0.409764526","-0.0808360599","-0.0625598711"," 0.11162977990","-0.476163507","-0.4670541679","-0.265683521","-0.080920409","-0.035628343","-0.0633406621","-0.526985309","-0.549200228","-0.4578814940","-0.09808404961","-0.379428770","-0.09808404961","-0.379428770","-0.2037336155","-0.317113487","-0.2945422668","-0.489725812","-0.510253996","-0.599866473","-0.294711164","-0.2576776162","-0.250806260","-0.2180199774","-0.2239725586","-0.033796526","-0.31072756337"," 0.0213195015"," 0.02378317614","-0.3142654013","-0.3677065950","-0.399541245","-0.1702283401","-0.2283804735","-0.4191043629","-0.3782914931","-3.8904730e-01","-0.3665704778","-0.383676121","-0.436905861","-0.240222512","-0.50740451","-0.490990336","-0.342367223","-0.2006245037"," 0.0164815831","-0.15210372106","-0.3188010227","-0.51389195327","-0.3168707156","-0.322337537","-0.51379748038","-0.562714529","-0.602581618","-0.624351924","-2.5965790e-02"," 0.06234765895"," 0.12132107583","-2.6576424e-02","-0.84451479"," 1.0528146e-01"," 0.10384994748"
"10","Walking","0.27857408","-0.0170223512","-0.109057512","-0.1787097344","-0.0227431652","-0.3956450721"," 0.96309215","-0.0838277014"," 0.0549276242","-0.97443516","-0.97111472","-0.95786273","0.085794381"," 4.0824879e-03","-1.6295320e-02","-0.0521991013"," 0.0750804952","-0.511662906"," 0.0106894976","-0.0819540784"," 0.09866957312","-0.414205475","-0.2508533187","-0.174524869","-0.122709563","-0.051920498","-0.0611262929","-0.366063723","-0.509683328","-0.3290794926","-0.12740091207","-0.185602396","-0.12740091207","-0.185602396","-0.1326249923"," 0.037608338","-0.1564587304","-0.402025136","-0.440363637","-0.501027917","-0.114190001"," 0.0533911910","-0.412182722","-0.2063664972","-0.1297757063","-0.435304216","-0.26332591785"," 0.2437974968"," 0.25896796635","-0.1079411075"," 0.0309052018","-0.464020509","-0.0791518267"," 0.0484867672","-0.5585126502","-0.2601306388","-1.4844569e-01"," 0.0557990907","-0.277913781","-0.345209035","-0.108530030","-0.45829293","-0.204392822","-0.273292866","-0.0933671419","-0.1221099299","-0.12980037211","-0.0930237423","-0.37047194396"," 0.0205189517"," 0.050208763","-0.41261690962","-0.499759797","-0.515065336","-0.517675799","-1.9841132e-02","-0.04283160864","-0.12526328414"," 9.9077939e-02","-0.85827574"," 1.4108226e-01","-0.01657209548"
